"Year","imdbRating","budget_raw","worldwide_raw","domestic_raw","big_money","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Biography","History","Adventure","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","Sport","Documentary","Music","Animation","Family","Musical","War","Western"
2006,5.1,1e+08,249488115,75030163,1,49337850.6,1.288323187,365900000,3.93440860215054,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013,6.8,7e+07,103813103,25213103,-1,151262069.785714,3.48528061957016,0,1,113655501.5,4.21490476426426,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2004,8.4,2e+07,72993444,34366518,1,242012198.833333,3.16007196893449,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,5.4,1.75e+08,173219280,100289690,-1,101544151.916667,2.56367940304436,0,1,256768883.5,3.23493888117284,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2009,7.2,2e+07,9208876,9208876,-1,133319383.192308,2.1346865592955,0,1,128745578,5.14982312,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6.5,1.7e+07,97402049,54239856,1,68995977.8,2.7205857062619,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,5.5,3.3e+07,79958599,51758599,1,13150845.6,1.12877114,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2004,5.1,7.8e+07,43957541,41814863,-1,79481026.25,1.24636717571549,0,1,54616869,0.758567625,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,4.4,4e+07,12624471,4835968,-1,48837778.75,1.95934279115854,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2004,7.5,6e+06,222414517,119114517,1,95845289.2,1.69375056634414,58576018,19.5253393333333,58576018,19.5253393333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,5.6,5e+07,128402901,88715192,1,85961120.2,1.78475891083804,0,1,78948765,0.928809,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5.7,87500000,330717080,154696080,1,97445071.6,2.96987394666667,381006676.8,2.85432005720136,77081642,6.42347016666667,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2011,7.3,1.25e+08,629841284,209837675,1,165055391.826087,2.49083530758433,142323220.666667,2.02102478988648,80801715.5,8.54665320588235,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2010,6.5,1.2e+07,35658648,23240020,1,81766101.625,2.17035837553423,19106655,0.723486557777778,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2004,4.3,4.5e+07,48563556,48114556,-1,0,1,0,1,352242522,70.4485044,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2005,7.2,1.2e+07,196857,196857,-1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005,6.4,3200000,341808,56131,-1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002,6.3,3.5e+07,16830252,6630252,-1,50876058.8571429,2.38388988646354,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2005,6.2,4e+07,50071069,42071069,-1,62048800.625,1.19185182001697,0,1,42216603.5,0.982574492857143,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,6.8,8e+06,419801,298110,-1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6.2,2.6e+07,90396664,46896664,1,3316246.5,0.8447499,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,5.8,2.5e+07,112798051,54098051,1,0,1,23673547,0.784051516326531,43905746,0.896035632653061,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,5.9,4e+07,157887643,42587643,1,0,1,100060892.666667,3.398845905,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2001,6.5,1.37e+08,85131830,32131830,-1,24285471.1666667,1.34447392474747,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2006,7.1,1.3e+07,1788077,1173673,-1,102841209,2.23719471302997,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,8.2,9.4e+07,906465556,380529370,1,164853839.2,1.85936048180884,0,1,279878859.5,2.93372921304348,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2004,7.8,2.5e+07,115036108,51676606,1,119098768.090909,3.1215511116848,0,1,43766463,10.94161575,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,7.3,3e+06,5922292,374675,-1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.1,5.3e+07,61902376,33602376,-1,25296233.8,1.0414532590942,96947540,1.34649361111111,138350370,4.49523670222222,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2006,6.1,1.5e+07,21896367,21000147,-1,41433658.375,1.47441176810955,141205169,2.17238721538462,1033810,0.159047692307692,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,7.3,3.1e+07,161772375,93772375,1,93495356.3846154,1.94448439401147,136468491.666667,1.86796364494949,257022437,1.5883654,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2004,6.1,7.5e+07,34009180,21009180,-1,124914894.25,1.90544775243024,0,1,58855732,1.4713933,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,6.2,5.5e+07,225706988,89706988,1,151203580.2,2.0471872372803,1466359.5,0.74439325,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,7.7,1.4e+07,1755212,1755212,-1,38512656.4285714,1.15034807654262,0,1,174310293,3.87356206666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,6.7,1.49e+08,177665672,64665672,-1,230043680.866667,2.54199845967593,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,6.6,6e+07,14816379,13090630,-1,182412834.222222,1.53304184402078,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,5.6,72500000,109362966,70231041,-1,88067826.4666667,2.04410969075921,0,1,274574685.5,5.73394331004785,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5.8,2.1e+07,38017873,37729698,-1,155389573,3.78488075315884,54085302.5,5.15737389659091,55305253.3333333,3.82041065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,6.3,1.2e+07,5549923,5549923,-1,68198665.375,2.32993409375,18552708,3.092118,18552708,3.092118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7.3,3e+07,105173042,63172463,1,7442871.25,1.74238283333333,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.3,2.7e+07,5204007,5204007,-1,55813792.3333333,1.39458035767196,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2005,6,1500000,172569,75828,-1,36408141.8,1.90859809333333,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,6.9,3e+07,92494381,74494381,1,114838363,1.93634289725877,0,1,132477305,2.45203407894737,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2008,5.6,8e+07,163546040,120146040,1,83599679.0625,4.51498060863518,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7.3,1.1e+07,19947280,13110448,-1,23682132.25,1.5957904375,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2012,7,3.9e+07,81150788,35287788,1,49933734.4285714,1.11744817165739,0,1,496123698.25,3.41761503202381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2010,6.4,2900000,117270,101270,-1,0,1,3314871.11111111,51.2891601367521,32229980,76.6077944551282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,6.1,2.6e+07,160822438,110222438,1,19505795.5,1.75834102291667,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2001,4.5,1.5e+07,14249005,14249005,-1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5.8,2.5e+07,114576403,82622655,1,0,1,0,1,5204007,0.192741,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,5.8,5.5e+07,74179980,55750480,-1,135127776.75,3.41116539586369,0,1,11022696,0.234525446808511,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,7.5,2.1e+07,43632609,36605602,1,98984255.4285714,2.76297251705928,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2002,7.4,1.2e+07,55710675,25885000,1,38084719,1.58133258388278,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7.3,3e+07,61950770,61255921,1,27792625.6666667,3.50998660057434,2932719,0.4887865,80831893,0.950963447058824,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2006,5.9,6500000,17518322,13368437,1,48802169.375,1.21382366902778,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6.4,3e+07,40520649,18298649,-1,114759072.294118,1.84905814947145,0,1,10553442,0.84427536,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.9,3.5e+07,68712365,31598308,-1,22199751,1.24918621333333,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2003,2.1,1.2e+07,4922166,4922166,-1,0,1,226792,0.0226792,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2008,7.7,2.9e+07,28144586,18622031,-1,61451251.6666667,1.7306293481763,85252067.3333333,6.24260915277778,309247124,2.8260357151296,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7.9,1.5e+08,1169244858,400344858,1,32319147,2.09483194166667,0,1,72697872.5,1.226978725,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008,7.2,1e+06,6030129,2511476,1,23246912.75,1.83125175581395,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,7.5,9e+05,16098998,16098998,1,85048794.75,5.27859951916667,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,4.8,2e+06,3438804,2512846,-1,11783198.8,0.647678504666667,0,1,450728529,5.30268857647059,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,6.4,72500000,71880305,51855045,-1,164353395.65,2.61844802870898,119880271.5,4.27899927662338,219154490,7.96925418181818,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,5.1,1.5e+08,287389685,119436770,-1,191845565.5,4.07349833395378,87123569,1.45205948333333,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,5.9,1.4e+08,371923060,122523060,1,88878156.8181818,2.72218659308767,102236596,4.33205915254237,165889117,5.52963723333333,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2009,5.8,1.75e+08,302469017,150201498,-1,60607762,4.72376358290383,216375481,2.64115181794872,367595470.5,3.10238957557023,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2009,5.8,5e+07,35062683,20534907,-1,158292178.8,3.72318202216719,43924923,3.66041025,43924923,3.66041025,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2002,7.5,9.7e+07,190400000,77730500,-1,141938884,3.49756172015584,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,6.8,6e+07,104100903,46000903,-1,54984828.1,1.9681375958153,0,1,102236596,4.33205915254237,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2004,7.7,2500000,36028802,26782316,1,75536549.9090909,4.87115142222647,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,6.1,9500000,118482,113682,-1,87996784.3030303,2.36341659382364,72709587.5,59.20489846875,72709587.5,59.20489846875,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,5.9,2e+07,20819601,18882880,-1,91640630.125,5.70938918904915,23889158,1.32717544444444,110248837,3.03022124296296,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,6.2,7e+06,254683,254683,-1,106605103.333333,1.962147125,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,6.4,4e+07,91455875,61153526,1,70231424,2.07548198638889,165582009,4.01279379333333,105173042,3.50576806666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,7.1,7e+06,9696933,9176933,-1,77628649.1666667,5.9329818703417,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,5.8,1e+07,19860259,11560259,-1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4.7,4e+07,46437122,30981850,-1,15548058,1.613781,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,4.3,1.8e+07,10501938,10501938,-1,87812528.2857143,6.5622848907348,0,1,30443277,2.17451978571429,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2007,5.2,1.2e+08,237702596,115802596,-1,0,1,119596120,1.57631167596154,182782518,2.284781475,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2002,5.4,2e+07,68349884,30113491,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,6.8,2e+07,26612350,13252641,-1,40329220.5714286,2.81992717704082,327622170.666667,3.11380776482733,92111551,2.302788775,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2001,7.5,5500000,8761608,6217849,-1,45336901.5714286,1.13823648785893,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2.3,5.4e+07,7266209,6087542,-1,104653574.428571,1.60984904639214,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,7,1.2e+07,43281552,11634362,1,58580507,7.32952001437861,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2.1,8500000,4273372,4273372,-1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,6.8,3.3e+07,27610873,4283255,-1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,6.3,5.5e+07,12923936,12882934,-1,59279496,1.78205896124322,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,6.2,1.6e+07,31631,31631,-1,93605216.8888889,2.44254271115941,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2003,5.1,1.7e+07,45312217,37667746,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,6.5,2e+05,40835,28835,-1,28644100.75,1.89576403,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,5.6,2.5e+07,59183821,35017297,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7.3,1.8e+07,41300105,41300105,1,249661132.25,2.78130460311111,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,6.2,9e+06,3922043,2956339,-1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,8.2,2.5e+07,274543085,148095302,1,51643183.8,2.25157408133333,0,1,109919191.333333,3.66863353556816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.1,5e+06,6590172,6090172,-1,125749817.2,3.19240448361905,11499734.6666667,1.43331564444444,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8.1,1.1e+08,716390596,274090596,1,118502350.642857,3.92617894042927,34366694.3333333,2.88126488245614,226161501.5,3.53645306376518,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2011,5.7,2e+08,231201172,116601172,-1,136262925.428571,3.36016321872205,0,1,285368224.6,3.00116057117647,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2010,6.9,1e+08,97523020,35497337,-1,0,1,85819259,2.89401637154472,269461349,3.70314891840121,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2007,7.7,5.3e+07,50187789,25031037,-1,50873360.0666667,1.44016156856517,62682317.1,6.26297056057882,104925645.666667,7.50748851175424,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2010,5.9,7.5e+07,272223430,162001186,1,160705318.590909,2.65989016951952,18240727,1.44429239093137,65063726,1.8589636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5.4,8e+07,247023808,133668525,1,195821386.818182,2.7994674024778,119833808.2,2.31843372789216,168643578,2.74430466666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5.9,3.5e+07,102115888,68915888,1,46639886.6842105,27.0332470751885,0,1,65842412,3.65791177777778,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7.6,1e+06,227241,227241,-1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4.9,1.12e+08,239179261,42779261,1,222736603.363636,3.07599895103598,108996113,1.81660188333333,374756245.5,3.54270277809524,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2007,6.9,7.5e+07,202871849,118871849,1,85000452.8666667,1.75945799065288,0,1,127697411.2,4.31807608038961,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2002,4.5,2.5e+07,19233280,15567860,-1,88336650.1578947,2.61809189670576,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2002,4,1.5e+07,37659652,30259652,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,6.5,1.5e+08,624346274,227946274,1,172775336.928571,5.48073368551224,0,1,76430755,1.40307500112689,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2011,6.8,3e+07,65343694,40259119,1,150950400.136364,1.84691348687609,0,1,84327221,2.4904561,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2001,6.7,8.7e+07,350100280,165092266,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2007,6.2,5e+07,80583311,27669725,-1,48525599.8,1.17949298249158,278277850,3.33550275419982,43281552,3.606796,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2013,6.1,5e+07,225703475,55703475,1,117603999.6,2.6927388354289,2194020,2.742525,2194020,2.742525,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2006,4.5,4.7e+07,37923818,15849032,-1,107192289.333333,5.56999506275099,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,6.5,8.5e+07,385000317,198000317,1,25748134,1.77992536,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2011,5.9,1.35e+08,157956466,64006466,-1,328598760.8,4.44747268329412,192500158.5,2.76470774705882,128333439,2.17647183137255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2005,7.2,950000,8267066,1024640,1,52653779.1666667,1.97663841002868,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,7.3,7300000,6294140,1818681,-1,114923532.470588,1.38650905242922,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2002,7.3,1e+08,878979634,261987880,1,0,1,974755371,7.798042968,974755371,7.798042968,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2005,7.6,1.5e+08,896911078,290013036,1,280028155.833333,2.9430097897151,0,1,141205169,2.17238721538462,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2009,7.5,2.5e+08,934416487,301959197,1,156575982.95,14.7911315993207,896911078,5.97940718666667,942943935,6.2862929,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2007,7.4,1.5e+08,942943935,292004738,1,428763210.166667,3.98292949675214,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2004,7.8,1.3e+08,796688549,249538952,1,439489817,4.89489817,926867502.5,8.293919654,33649881,6.7299762,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2001,7.4,1.25e+08,974755371,317575550,1,17178091.25,1.24080260714286,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2005,7,2e+06,6225304,3337931,1,74383599.4,1.38426238301754,104505362,2.32234137777778,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2002,6.3,7e+07,33076815,19076815,-1,28583197.25,0.777532724385965,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,5.8,2.3e+07,22176190,18942396,-1,35884407.1428571,1.70708626679605,0,1,128296598.6,1.71793817220313,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2009,6.4,4e+07,178390243,93953653,1,0,1,0,1,70187088,2.00534537142857,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5.3,35200000,38283765,37788228,-1,37985649.4,1.66446631190476,35586125.5,1.68620418333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.2,3.8e+07,57753825,40334024,-1,87525070,1.75603528735632,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,6.9,3.1e+07,30885781,24185781,-1,87525070,1.75603528735632,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7.8,6e+06,3643900,3067312,-1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,6.8,6e+07,99823958,59623958,-1,40983556.8,2.21376519403509,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2013,8.3,2.3e+07,45871583,25568251,-1,95734094.6363636,2.23435190544691,99123656,0.99123656,99123656,0.99123656,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,6.5,4.2e+07,73239258,45290318,-1,173990582.615385,3.15737570297311,78607557,2.82240850907316,138012299.5,1.57992358323864,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,6.5,5e+07,105246941,32746941,1,25073930,1.09452553232323,57620132.4,4.07091214727012,132318699.625,4.4417705868802,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,7.1,7e+06,382946,382946,-1,144829093.888889,2.96677842606381,2692894.33333333,1.30783198412698,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,5.8,1e+07,13684949,13684949,-1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2004,6.6,7.8e+07,107336658,67286731,-1,0,1,106515310,1.331441375,365900000,3.93440860215054,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2005,5.9,2.5e+07,123100486,51100486,1,125489355.818182,2.25270156691402,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,6.3,4.2e+07,63781100,41543207,-1,33675904.25,1.63329232283835,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,6.2,1e+07,226792,226792,-1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,4.2,1.1e+07,274392880,90559416,1,2376499,1.9382495,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2003,6.9,2850000,6435262,3681066,1,28801663.6,0.861833305454545,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,6.3,1800000,859182,841056,-1,83558721.0714286,13.7214198894305,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,6.7,5.5e+07,366784257,177784257,1,171095106.75,2.16828561787216,0,1,182365114,4.79908194736842,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,6.3,17500000,99965792,39687694,1,82565288.6666667,1.37856377026936,147080413,1.8385051625,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2011,6.1,3e+06,834953,703372,-1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2003,7.1,2e+07,72383924,67383924,1,84016394.8,1.44920483654109,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5.4,1.1e+08,76482461,50026353,-1,96653966.625,2.5286291427213,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
